appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
16991,PukePuke Demon,2018-06-15,1,electronic life games,AYE Technology,windows,0,Single-player,Action;Adventure;Indie,Action;Adventure;Indie,0,1,3,0,0,0-20000,1.99
16992,Pull Ball,2019-01-18,1,Nichengun,Nichengun,windows;mac,0,Single-player;Steam Achievements;Steam Leaderboards,Casual;Indie,Indie;Casual;Puzzle,100,3,1,0,0,0-20000,0.79
16993,Pull Me Out,2018-07-26,1,gfdsahdgsye7,gfdsahdgsye7,windows,0,Single-player,Action;Casual;Indie,Action;Indie;Casual,0,6,15,0,0,20000-50000,0.79
16994,PULSAR: Lost Colony,2015-09-15,1,Leafy Games,Leafy Games,windows;mac;linux,0,Single-player;Co-op;Online Co-op;Cross-Platform Multiplayer;Partial Controller Support,Action;Adventure;Indie;Simulation;Early Access,Early Access;Space;Co-op,0,1989,212,1159,1446,100000-200000,19.49
16995,Pulse,2015-10-20,1,Pixel Pi Games,Pixel Pi Games,windows;mac;linux,0,Single-player;Full controller support;Steam Cloud,Adventure;Indie,Adventure;Indie;Female Protagonist,8,32,26,0,0,0-20000,5.79
16996,Pulse Shift,2016-08-29,1,3 Core Studio,3 Core Studio,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Indie,Indie;Puzzle,21,8,4,0,0,0-20000,5.99
16997,Pulsen,2015-07-27,1,4-Panel Footprint,4-Panel Footprint,windows,0,Single-player;Multi-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud;Stats;Steam Turn Notifications,Indie;Simulation;Sports;Early Access,Early Access;Indie;Music,0,41,10,0,0,0-20000,11.39
16998,Pulses - Crystal Journeys,2017-09-11,1,Ventura Science,Ventura Science,windows,0,Single-player;Steam Achievements;Steam Leaderboards,Indie,Indie;Match 3,6,5,0,0,0,0-20000,2.79
16999,Pulstar,2014-06-11,1,Concave Studio;Colorful Media;Emagica,Indietopia Games ,windows;mac;linux,0,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Partial Controller Support;Stats,Action;Indie,Indie;Action;Shooter,13,62,43,0,0,20000-50000,1.59
17000,Pulut Adventure,2015-07-09,1,yayapipi,yayapipi,windows,0,Single-player;Partial Controller Support,Action;Adventure;Indie,Action;Adventure;Indie,0,59,35,0,0,0-20000,1.59
17001,Pummel Party,2018-09-20,1,Rebuilt Games,Rebuilt Games,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support,Action;Casual;Indie,Multiplayer;Casual;Funny,31,1368,306,211,268,100000-200000,11.39
17002,Pumped BMX +,2015-09-18,1,Yeah Us!,Curve Digital,windows,0,Single-player;Steam Achievements;Full controller support;Stats;Steam Leaderboards,Indie;Sports,Indie;Sports;Bikes,22,130,23,0,0,0-20000,7.99
17003,Pumped BMX Pro,2019-02-07,1,Yeah Us!;Warp Digital Entertainment,Curve Digital ,windows,0,Single-player;Steam Achievements;Partial Controller Support;Steam Leaderboards,Sports,Bikes;BMX;Sports,30,8,2,0,0,0-20000,14.99
17004,Pumpkin Death Garden,2018-11-30,1,Challenge Yourself Gaming,Challenge Yourself Productions,windows,0,Single-player;Steam Achievements;Steam Cloud;Steam Leaderboards,Action;Indie;Strategy,Action;Indie;Strategy,89,3,0,0,0,0-20000,1.69
17005,Pumpkin SculptrVR,2016-10-21,1,SculptrVR,SculptrVR,windows,0,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op,Indie,Indie;VR,0,12,2,0,0,0-20000,0.0
17006,Punch Bomb,2016-12-13,1,Chris Folea,Chris Folea,windows,0,Single-player;Steam Achievements;Steam Leaderboards,Action;Indie;Early Access,Early Access;Action;Indie,10,36,0,0,0,0-20000,4.99
17007,Punch Club,2016-01-08,1,Lazy Bear Games,tinyBuild,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Steam Cloud,Indie;RPG;Strategy,Management;Pixel Graphics;Indie,47,6071,1669,478,378,500000-1000000,6.99
17008,Punch Pad Workout,2018-08-14,1,MobileFusion Apps Ltd,MobileFusion Apps Ltd,windows,0,Single-player;Steam Leaderboards,Casual;Sports,Casual;Sports;VR,0,7,2,0,0,0-20000,7.5
17009,Punch Planet,2017-11-08,1,Sector-K Games,Sector-K Games,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Full controller support,Action;Indie;Early Access,Early Access;Indie;Action,0,48,1,0,0,0-20000,15.49
17010,Puppet Blaster,2018-10-16,1,Mad Gnolas,self published,windows,0,Single-player,Action,Action;VR,0,12,0,0,0,0-20000,0.0
17011,Puppet Fever,2018-04-19,1,Coastalbyte Games,Coffee Stain Publishing,windows,0,Single-player;Multi-player;Local Multi-Player;Shared/Split Screen,Casual;Early Access,Early Access;VR;Casual,0,22,0,0,0,0-20000,11.39
17012,Puppet Kings,2017-12-11,1,Timba Games,Plug In Digital,windows;mac;linux,0,Single-player;Full controller support;Steam Cloud,Action;Casual;Indie,Casual;Action;Indie,0,16,6,0,0,0-20000,6.99
17013,PuppetShow: Return to Joyville Collector's Edition,2018-02-05,1,ERS G Studios,Big Fish Games,windows,0,Single-player,Adventure;Casual,Adventure;Casual;Hidden Object,0,1,0,0,0,0-20000,7.19
17014,PuppetShow™: Destiny Undone Collector's Edition,2018-07-18,1,ERS G Studios,Big Fish Games,windows,0,Single-player,Adventure;Casual,Adventure;Casual;Hidden Object,0,0,1,0,0,0-20000,7.19
17015,PuppetShow™: Mystery of Joyville,2016-10-14,1,ERS G Studios,Big Fish Games,windows,0,Single-player,Adventure;Casual,Adventure;Casual;Hidden Object,0,5,1,0,0,0-20000,4.99
17016,PuppetShow™: Souls of the Innocent Collector's Edition,2017-05-17,1,ERS G Studios,Big Fish Games,windows,0,Single-player,Adventure;Casual,Adventure;Casual;Hidden Object,0,1,0,0,0,0-20000,7.19
17017,PuppetsVR,2017-09-27,1,Expo Virtualis,Expo Virtualis,windows,0,Single-player;Online Multi-Player,Casual;Indie;Simulation;Early Access,Early Access;Indie;Casual,0,5,1,0,0,0-20000,3.99
17018,Puppies vs Undead,2018-02-28,1,SnagBox Studio,Atriagames,windows,0,Single-player;Steam Achievements;Full controller support;Stats;Steam Leaderboards,Action;Casual;Indie;Simulation;Strategy,Casual;Indie;Action,15,12,8,0,0,0-20000,7.19
17019,Puppy Chef Academy,2018-09-07,1,CTN Design,CTN Design,windows,0,Single-player,Casual;Indie;Simulation,Indie;Casual;Simulation,0,4,1,0,0,0-20000,0.0
17020,Puppy Doge VR,2017-05-10,1,Chun Y.,Chun Y.,windows,0,Single-player,Casual;Indie;Simulation,Indie;Casual;Simulation,0,3,4,0,0,0-20000,0.79
17021,Pure Chess Grandmaster Edition,2016-09-09,1,Ripstone,Ripstone,windows,0,Single-player;Multi-player;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards,Casual;Indie;Simulation;Sports;Strategy,Strategy;Indie;Simulation,13,66,32,0,0,0-20000,11.99
17022,Pure Farming 2018,2018-03-13,1,Ice Flames,Techland Publishing,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud,Simulation,Simulation;Open World;Agriculture,50,637,309,0,0,50000-100000,15.49
17023,Pure Football 2018,2018-01-17,1,PureFootball,PureFootball,windows,0,Single-player;Partial Controller Support,Simulation;Sports;Early Access,Early Access;Simulation;Sports,0,11,5,0,0,0-20000,11.39
17024,Pure Hold'em,2015-08-20,1,VooFoo Studios,Ripstone,windows,0,Single-player;Multi-player;Steam Achievements;Full controller support,Casual;Indie;Simulation;Sports;Strategy,Sports;Indie;Simulation,50,38,42,0,0,0-20000,14.99
17025,Pure Mind,2017-11-21,1,HIPIX,HIPIX,windows,0,Single-player;Partial Controller Support,Action;Adventure;Casual;Indie,Action;Adventure;Indie,0,18,15,0,0,0-20000,3.19
17026,Pure Pool,2014-07-31,1,VooFoo Studios,Ripstone,windows,0,Single-player;Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Casual;Simulation;Sports,Simulation;Sports;Casual,51,129,129,0,0,0-20000,7.99
17027,Pure Rock Crawling,2018-04-11,1,Maciej Kuzianik,Maciej Kuzianik,windows,0,Single-player;Steam Achievements;Full controller support,Casual;Indie;Racing;Simulation;Sports;Early Access,Early Access;Simulation;Offroad,10,216,33,0,0,0-20000,11.39
17028,Purgation,2017-10-06,1,Arttu Tuovinen;Paul Georgeon;Corentin Jezequel;Eddine Omar;Alexandre Petrault;Johan Rendy,Michael Callaghan,windows,0,Single-player;Steam Achievements;Steam Cloud,Violent;Gore;Indie,Indie;Gore;Violent,6,5,4,0,0,0-20000,0.0
17029,Purgatory,2016-06-22,1,Eduard Mirica,New Reality Games,windows;mac;linux,0,Single-player;Steam Trading Cards,Action;Adventure;Indie;RPG;Strategy,Strategy;Indie;Adventure,0,120,71,230,235,200000-500000,0.79
17030,Purgatory Fell,2018-03-30,1,Martian Games,Insanely Virtual,windows,0,Single-player;Steam Achievements,Gore;Adventure,Adventure;Gore;VR,0,6,2,0,0,0-20000,5.79
17031,Purgatory II,2018-02-28,1,New Reality Games;Eduard Mirica,New Reality Games,windows,0,Single-player,Adventure;Indie;Strategy,Strategy;Adventure;Indie,0,8,8,219,274,100000-200000,0.79
17032,Purgatory: War of the Damned,2015-02-11,1,Ironsun Studios,KISS ltd,windows,0,Multi-player;Steam Cloud,Action;RPG;Early Access,Early Access;RPG;Action,0,6,12,0,0,0-20000,9.99
17033,Purino Party,2016-06-22,1,Frontwing,Frontwing USA,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Sexual Content;Nudity;Adventure;Casual,Nudity;Anime;Sexual Content,14,176,81,0,0,0-20000,8.99
17034,Purple Deathmatch,2019-03-09,1,Young Dolphin,Dagestan Technology,windows,0,Single-player;Steam Achievements,Adventure;Indie,Indie;Adventure,7,1,2,0,0,0-20000,0.79
17035,Purple Heart,2017-11-27,1,Artalasky,Artalasky,windows,0,Single-player;Steam Achievements;Partial Controller Support,Adventure;Indie,Adventure;Indie;Platformer,25,36,17,0,0,20000-50000,2.89
17036,Purrfect Date - Visual Novel/Dating Simulator,2017-12-15,1,Bae Team,Bossa Studios,windows,0,Single-player;Steam Achievements;Captions available;Steam Cloud,Adventure;Casual;Indie;RPG;Simulation,Indie;Casual;Dating Sim,32,172,70,126,126,0-20000,7.19
17037,Pursuer,2019-03-11,1,TheBlavas,TheBlavas,windows,0,Single-player;Steam Achievements,Action;Adventure;Indie,Action;Adventure;Indie,10,6,4,0,0,0-20000,10.99
17038,PUSH,2017-10-18,1,Maciej Targoni;Michal Pawlowski,Hamster On Coke Games;Maciej Targoni,windows;mac;linux,0,Single-player;Steam Achievements,Casual;Indie,Casual;Indie;Puzzle,1,290,34,0,0,20000-50000,0.79
17039,Push For Emor,2016-10-24,1,Lupus Solus Studio,Lupus Solus Studio,windows,0,Single-player;Full controller support,Action;Indie;RPG;Early Access,Early Access;Action;RPG,0,31,12,0,0,0-20000,9.99
17040,Push Me Pull You,2016-07-14,1,House House,House House,windows;mac;linux,0,Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support,Action;Indie;Sports,Sports;Indie;Action,11,21,3,0,0,0-20000,10.99
17041,Push Pull,2019-03-08,1,abso1ution,abso1ution,windows,0,Single-player;Shared/Split Screen,Indie,Indie;Puzzle;Sokoban,9,6,0,0,0,0-20000,2.09
17042,Push The Crate: Remastered Edition,2016-07-12,1,West Forest Games,West Forest Games,windows,0,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud,Casual;Indie,Indie;Casual;Puzzle,4,2,4,0,0,0-20000,1.59
17043,Pushcat,2015-01-12,1,Zut Games,Zut Games,windows;mac,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Indie,Indie;Action;Pixel Graphics,9,80,6,0,0,0-20000,3.99
17044,Pushing Through...,2018-09-21,1,Hunters Game Dev,Hunters Game Dev,windows;mac,0,Single-player;Steam Achievements,Adventure;Free to Play;Indie,Free to Play;Indie;Adventure,8,16,3,0,0,0-20000,0.0
17045,Pushover,2018-04-13,1,Ocean Software,Classics Digital,windows,0,Single-player;Partial Controller Support,Adventure;Strategy,Adventure;Strategy;2D,0,10,3,0,0,0-20000,3.99
17046,PUSS!,2018-08-02,1,teamCOIL,teamCOIL,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards,Indie,Indie;Psychedelic;Difficult,21,204,19,0,0,0-20000,7.99
17047,PUSSY PASSWORD \ 猫的密码,2018-10-18,1,FIRST_UKRAINIAN,FIRST_UKRAINIAN,windows,0,Single-player;Steam Achievements,Casual;Indie;RPG;Simulation,Sexual Content;RPG;Indie,10,4,6,0,0,0-20000,0.79
17048,PUT ANNA,2018-08-09,1,Petushock Production,Petushock Production,windows,0,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Commentary available,Adventure;Indie;RPG,Adventure;Indie;RPG,25,26,6,0,0,0-20000,0.79
17049,Putin Run Away From Trump,2018-06-01,1,"Nikita ""Ghost_RUS""",Ghost_RUS Games,windows,0,Single-player;Steam Achievements,Adventure;Casual;Indie,Indie;Adventure;Casual,11,17,9,0,0,0-20000,0.79
17050,Putin takes taxes,2018-02-20,1,Hardcore Studio,Hardcore Studio,windows,0,Single-player;Steam Achievements,Indie;Simulation,Indie;Simulation;2D,8,5,6,0,0,0-20000,1.69
17051,Putin VS ISIS,2018-04-02,1,"Nikita ""Ghost_RUS""",Ghost_RUS Games,windows,0,Single-player;Steam Achievements,Action;Casual;Indie,Indie;Action;Casual,7,102,5,0,0,0-20000,0.79
17052,Putinization,2018-06-09,1,Putin Team,Putin Team,windows,0,Single-player,Casual;Indie,Indie;Casual,0,0,3,0,0,0-20000,0.79
17053,Putinoids VS Navalnyats - Путиноиды Против Навальнят,2018-05-16,1,"Nikita ""Ghost_RUS""",Ghost_RUS Games,windows,0,Single-player;Steam Achievements,Action;Adventure;Casual;Indie,Indie;Action;Adventure,4,9,2,0,0,0-20000,0.79
17054,Putrefaction,2015-08-07,1,Kazakov Oleg,Kazakov Oleg,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Action;Indie,Action;Indie;FPS,10,251,124,309,323,100000-200000,0.79
17055,Putrefaction 2: Rumble in the hometown,2017-10-11,1,Kazakov Oleg,Kazakov Oleg,windows,0,Single-player;Steam Achievements;Partial Controller Support,Violent;Gore;Action;Indie,Action;Gore;Violent,20,44,21,0,0,0-20000,0.79
17056,Putrefaction 2: Void Walker,2017-05-29,1,Kazakov Oleg,Kazakov Oleg,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Violent;Gore;Action;Indie,Action;Indie;Gore,137,144,37,84,139,50000-100000,3.99
17057,Putt-Putt® and Fatty Bear's Activity Pack,2014-05-15,1,Humongous Entertainment,Humongous Entertainment;Nightdive Studios,windows;mac;linux,0,Single-player;Steam Cloud,Casual,Casual;Family Friendly;Point & Click,0,46,9,0,0,20000-50000,3.99
17058,Putt-Putt® and Pep's Balloon-o-Rama,2014-04-17,1,Humongous Entertainment,Humongous Entertainment;Nightdive Studios,windows;mac;linux,0,Single-player;Steam Cloud,Adventure;Casual,Adventure;Casual;Family Friendly,0,42,7,0,0,20000-50000,3.99
17059,Putt-Putt® and Pep's Dog on a Stick,2014-05-01,1,Humongous Entertainment,Humongous Entertainment;Nightdive Studios,windows;mac;linux,0,Single-player;Steam Cloud,Adventure;Casual,Casual;Adventure;Family Friendly,0,30,2,0,0,20000-50000,3.99
17060,Putt-Putt® Enters the Race,2014-05-29,1,Humongous Entertainment,Humongous Entertainment;Nightdive Studios,windows;mac;linux,0,Single-player;Steam Cloud,Adventure;Casual,Adventure;Casual;Point & Click,0,74,2,0,0,20000-50000,4.99
17061,Putt-Putt® Goes to the Moon,2014-05-05,1,Humongous Entertainment,Humongous Entertainment;Nightdive Studios,windows;mac;linux,0,Single-player;Steam Cloud,Adventure;Casual,Adventure;Casual;Point & Click,0,88,8,0,0,20000-50000,4.99
17062,Putt-Putt® Joins the Circus,2014-05-29,1,Humongous Entertainment,Humongous Entertainment;Nightdive Studios,windows;mac;linux,0,Single-player;Steam Cloud,Adventure;Casual,Adventure;Casual;Point & Click,0,33,6,0,0,20000-50000,4.99
17063,Putt-Putt® Joins the Parade,2014-04-17,1,Humongous Entertainment,Humongous Entertainment;Nightdive Studios,windows;mac;linux,0,Single-player,Adventure;Casual,Adventure;Point & Click;Family Friendly,0,183,15,0,0,20000-50000,4.99
17064,Putt-Putt® Saves The Zoo,2014-07-03,1,Humongous Entertainment,Humongous Entertainment;Nightdive Studios,windows;mac;linux,0,Single-player;Steam Trading Cards;Steam Cloud,Adventure;Casual,Family Friendly;Adventure;Casual,0,333,14,34,34,20000-50000,4.99
17065,Putt-Putt® Travels Through Time,2014-05-15,1,Humongous Entertainment,Humongous Entertainment;Nightdive Studios,windows;mac;linux,0,Single-player;Steam Trading Cards;Steam Cloud,Adventure;Casual,Adventure;Casual;Masterpiece,0,132,14,0,0,20000-50000,4.99
17066,Putt-Putt®: Pep's Birthday Surprise,2014-06-06,1,Humongous Entertainment,Humongous Entertainment;Nightdive Studios,windows,0,Single-player;Steam Cloud,Adventure;Casual,Family Friendly;Point & Click;Casual,0,24,17,0,0,20000-50000,4.99
17067,Puttin' Around,2019-03-06,1,Better Games LLC,Better Games LLC,windows;mac,0,Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Steam Workshop;Stats;Includes level editor,Casual;Indie;Sports;Early Access,Early Access;Casual;Indie,3,0,2,0,0,0-20000,3.99
17068,Putty Pals,2017-02-15,1,Harmonious Games,Harmonious Games,windows;mac,0,Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure;Indie,Indie;Action;Adventure,26,35,0,0,0,0-20000,6.99
17069,Puyo Puyo™Tetris®,2018-02-27,1,Sonic Team;Bitbaboon,SEGA,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Casual,Puzzle;Casual;Competitive,42,1610,379,231,231,200000-500000,14.99
17070,Puzlogic,2018-07-20,1,Eduardo Barreto,Eduardo Barreto,windows;mac;linux,0,Single-player;Steam Achievements,Casual;Indie,Indie;Casual;Puzzle,17,13,1,0,0,0-20000,2.09
17071,PuzzGun,2018-05-09,1,Aleksi Rajamäki;Matias Rajamäki,Codera,windows,0,Single-player;Full controller support;Steam Cloud,Indie,Indie;Puzzle-Platformer;Puzzle,0,15,0,0,0,0-20000,2.09
17072,Puzzle 101: Edge of Galaxy 宇宙边际,2019-03-14,1,Black Phoenix Studio,Black Phoenix Studio,windows;mac;linux,0,Single-player;Steam Achievements;Steam Cloud;Steam Leaderboards,Casual;Indie,Indie;Casual;Puzzle,92,1,0,0,0,0-20000,4.79
17073,Puzzle 3D,2018-03-01,1,Jake Peng,Jake Peng,windows,0,Single-player;Steam Achievements,Casual;Indie;Strategy,Casual;Indie;Strategy,12,1,0,0,0,0-20000,2.09
17074,Puzzle Agent,2010-07-01,1,Telltale Games,Telltale Games,windows;mac,0,Single-player,Adventure;Casual,Puzzle;Adventure;Point & Click,0,1574,214,69,110,500000-1000000,3.99
17075,Puzzle Agent 2,2011-06-30,1,Telltale Games,Telltale Games,windows;mac,0,Single-player;Steam Achievements,Adventure;Casual,Puzzle;Adventure;Point & Click,52,588,86,82,82,200000-500000,6.99
17076,Puzzle Ball,2015-10-01,1,Почежерцев Влад;Кашковский Антон;Бурков Никита,Art-Pulsar,windows,0,Single-player;Multi-player;Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Stats;Steam Leaderboards;Includes level editor,Casual;Indie,Indie;Casual;Puzzle,36,27,34,299,322,20000-50000,1.99
17077,Puzzle Bloc Invasion,2017-12-15,1,Colorful Games,Colorful Games,windows,0,Single-player;Steam Achievements;Partial Controller Support;Steam Leaderboards,Action;Casual;Indie,Action;Indie;Casual,59,1,0,0,0,0-20000,2.24
17078,Puzzle Blocks,2017-12-07,1,Lemon Jam Studio,Lemon Jam Studio,windows,0,Single-player,Indie,Indie;Puzzle,0,2,0,0,0,0-20000,0.79
17079,Puzzle Bots,2010-10-22,1,Ivy Games,Wadjet Eye Games,windows,0,Single-player,Adventure;Indie,Adventure;Indie;Puzzle,0,109,38,0,0,50000-100000,3.49
17080,Puzzle Box,2016-04-22,1,BplusGames,OtakuMaker.com,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards,Action;Adventure;Casual;Indie;Strategy,Pixel Graphics;Casual;Atmospheric,30,26,6,0,0,0-20000,6.99
17081,Puzzle Chambers,2017-12-01,1,Entertainment Forge,GrabTheGames,windows;mac,0,Single-player;Steam Achievements;Steam Cloud,Indie,Indie;Puzzle;Casual,10,36,5,0,0,0-20000,2.09
17082,Puzzle Chronicles,2010-06-25,1,Infinite Interactive,"Konami Digital Entertainment, Inc.;Konami Digital Entertainment GmbH",windows,0,Single-player;Multi-player;Steam Achievements;Partial Controller Support;Steam Cloud,Casual;RPG,RPG;Casual;Puzzle,12,16,8,0,0,0-20000,7.99
17083,Puzzle Cross,2016-07-22,1,Ayy Caramba Games,Ayy Caramba Games,windows,0,Single-player;Steam Workshop;Includes level editor,Adventure;Casual;Indie;Early Access,Early Access;Indie;Adventure,0,6,1,0,0,0-20000,6.99
17084,Puzzle Cube,2016-10-11,1,ThinkOfGames,ThinkOfGames,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Casual;Indie,Casual;Indie;Puzzle,10,24,3,210,228,20000-50000,1.99
17085,Puzzle Dating,2017-09-14,1,M. Hanka,Liu Lidan,windows,0,Single-player;Steam Achievements;Steam Cloud;Steam Leaderboards,Casual;Indie;Simulation,Casual;Indie;Simulation,15,20,15,0,0,0-20000,0.79
17086,Puzzle Dimension,2010-06-21,1,Doctor Entertainment AB,Doctor Entertainment AB,windows;mac,0,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards,Casual;Indie,Puzzle;Indie;Casual,25,412,41,8,8,100000-200000,1.99
17087,Puzzle Expedition,2015-06-29,1,Top3Line,Top3Line,windows,0,Single-player;Steam Cloud,Casual,Casual;Puzzle,0,1,0,0,0,0-20000,5.59
17088,Puzzle for Kids,2018-02-06,1,Boogygames Studios,Boogygames Studios ,windows,0,Single-player,Adventure;Casual;Indie;Simulation;Strategy,Indie;Adventure;Casual,0,3,4,0,0,0-20000,1.69
17089,Puzzle Galaxies,2016-04-29,1,Evermore Game Studios,Sometimes You,windows;mac,0,Single-player;Steam Trading Cards,Casual;Indie,Indie;Casual;Puzzle,0,81,38,206,217,200000-500000,0.79
17090,Puzzle Guardians,2017-04-18,1,Miryn Innovation,Miryn Innovation,windows;mac,0,Single-player,Casual;Indie;RPG,RPG;Casual;Indie,0,4,2,0,0,0-20000,7.99
17091,Puzzle Island VR,2017-01-17,1,Interaction Ideas GmbH,Interaction Ideas GmbH,windows,0,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op,Casual;Early Access,Early Access;Casual;Puzzle,0,11,4,0,0,0-20000,7.19
17092,Puzzle Kingdoms,2009-04-27,1,Infinite Interactive,Strategy First,windows,0,Multi-player;Steam Cloud,Casual,Casual;Puzzle;Match 3,0,139,102,175,175,100000-200000,10.99
17093,Puzzle Lab,2018-09-25,1,Astrocat Studios,Astrocat Studios,windows,0,Single-player;Includes level editor,Casual,Casual;VR,12,3,1,0,0,0-20000,5.79
17094,Puzzle Mania,2017-11-20,1,Norrland Interactive,Norrland Interactive,windows,0,Single-player,Casual;Indie;Simulation,Indie;Casual;Simulation,0,1,0,0,0,0-20000,3.99
17095,Puzzle Master,2018-08-24,1,SimpleLogic,SimpleLogic,windows;mac,0,Single-player;Steam Achievements;Steam Workshop;Steam Cloud,Casual;Indie;Strategy,Sexual Content;Nudity;Casual,10,40,7,0,0,0-20000,1.69
17096,Puzzle Monarch: Egypt,2018-09-20,1,Ripknot Systems,Ripknot Systems,windows,0,Single-player;Steam Achievements,Casual;Indie;Strategy,Strategy;Indie;Casual,1,2,4,0,0,0-20000,4.99
17097,Puzzle Monarch: Forests,2018-09-13,1,Ripknot Systems,Ripknot Systems,windows,0,Single-player,Casual,Casual;Indie;Strategy,0,1,4,0,0,0-20000,4.99
17098,Puzzle Monarch: Mummy,2018-09-14,1,Ripknot Systems,Ripknot Systems,windows,0,Single-player,Casual,Casual;Indie;Puzzle,0,1,6,0,0,0-20000,4.99
17099,Puzzle Monarch: Nile River,2018-09-23,1,Ripknot Systems,Ripknot Systems,windows,0,Single-player;Steam Achievements,Casual;Indie;Strategy,Indie;Strategy;Casual,1,1,0,0,0,0-20000,4.99
17100,Puzzle Monarch: Super Natural,2018-08-21,1,Ripknot Systems,Ripknot Systems,windows,0,Single-player,Casual,Casual;Puzzle;Strategy,0,3,6,0,0,0-20000,4.99
17101,Puzzle Monarch: Vampires,2018-08-09,1,Ripknot Systems,Ripknot Systems,windows,0,Single-player,Casual;Indie;Strategy,Indie;Strategy;Casual,0,2,4,0,0,0-20000,4.99
17102,Puzzle Monarch: Zombie,2018-08-23,1,Ripknot Systems,Ripknot Systems,windows,0,Single-player,Casual,Casual;Puzzle;Strategy,0,1,4,0,0,0-20000,4.99
17103,Puzzle Nebula,2016-07-05,1,Multiverse Games,Multiverse Games,windows,0,Single-player;Partial Controller Support,Casual;Indie,Indie;Casual;Puzzle,0,3,0,0,0,0-20000,1.99
17104,Puzzle of Santa Girl VR,2018-01-24,1,Studio Thug Life,Studio Thug Life,windows,0,Single-player,Casual;Indie,Indie;Casual;VR,0,1,1,0,0,0-20000,11.39
17105,Puzzle One,2017-07-13,1,Portponky,Shambles Software,windows;linux,0,Single-player;Steam Workshop;Steam Leaderboards;Includes level editor,Casual;Indie,Indie;Casual;Puzzle,0,5,1,0,0,0-20000,0.79
17106,Puzzle Out VR,2019-03-05,1,Glock Software,Glock Software,windows,0,Single-player,Action;Casual;Indie,Action;Indie;Casual,0,0,4,0,0,0-20000,2.89
17107,Puzzle Pirates,2011-08-31,1,"Grey Havens, LLC","Grey Havens, LLC",windows;mac,0,Single-player;Multi-player;MMO;Co-op;Steam Achievements,Adventure;Casual;Free to Play;Massively Multiplayer;Strategy,Free to Play;Massively Multiplayer;Puzzle,220,961,239,107,214,200000-500000,0.0
17108,Puzzle Pirates: Dark Seas,2018-07-06,1,"Grey Havens, LLC","Grey Havens, LLC",windows;mac,0,Single-player;Multi-player;Online Multi-Player;MMO;Steam Achievements;Steam Trading Cards;In-App Purchases;Stats,Adventure;Casual;Free to Play;Indie;Massively Multiplayer;RPG;Strategy,Free to Play;Puzzle;Massively Multiplayer,49,315,97,1334,1687,50000-100000,0.0
17109,Puzzle Plunder,2018-10-09,1,Windybeard,Windybeard,windows,0,Single-player;Steam Achievements;Steam Cloud,Casual,Casual;Puzzle;Match 3,33,36,0,0,0,0-20000,0.0
17110,Puzzle Poker,2017-12-18,1,Game Dev Castle,Top Meadow,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Stats;Steam Leaderboards,Casual;Indie;Strategy,Casual;Strategy;Indie,12,3,2,0,0,0-20000,2.09
17111,Puzzle Puppers,2017-01-20,1,Cardboard Keep,Cardboard Keep,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Casual;Indie;Strategy,Indie;Casual;Strategy,16,54,1,0,0,0-20000,3.99
